InvoiceNo,CustomerID,Gender,Age,Location,Category,ItemName,Quantity,UnitPrice,PaymentMethod,InvoiceDate,ReviewRating,SubscriptionStatus,DiscountApplied,TotalRevenue
INV58049,C10293,Male,32,Florida,Beauty & Personal Care,Lipstick,4,19.26,Cash,2024-01-02 13:49:49,4.9,Yes,No,77.04
INV57497,C10262,Female,29,California,Electronics,Laptop,1,1081.4,Credit Card,2024-01-02 15:46:13,3.5,No,No,1081.4
INV51207,C11029,Male,35,California,Sports & Outdoors,Water Bottle,1,19.34,Credit Card,2024-01-02 18:35:01,2.6,Yes,No,19.34
INV60424,C10778,Male,46,Texas,Beauty & Personal Care,Moisturizer,1,28.27,Credit Card,2024-01-02 20:23:26,4.6,No,No,28.27
INV64958,C11150,Female,19,California,Clothing,Jeans,1,57.47,PayPal,2024-01-02 21:04:46,4.6,Yes,No,57.47
INV62187,C10482,Male,23,Colorado,Electronics,Tablet,2,338.62,Credit Card,2024-01-03 09:49:53,3.7,No,No,677.24
INV56886,C10798,Male,24,New York,Electronics,Smartwatch,1,206.46,Cash,2024-01-03 10:03:33,4.7,Yes,No,206.46
INV58572,C10627,Male,49,Texas,Beauty & Personal Care,Hair Dryer,1,45.2,Credit Card,2024-01-03 10:06:09,3.6,No,No,45.2
INV55014,C10210,Non-Binary,34,Texas,Beauty & Personal Care,Perfume,2,76.29,Credit Card,2024-01-03 10:10:06,3.7,No,No,152.58
INV59524,C10735,Male,59,Texas,Books,Fiction Novel,1,14.67,Credit Card,2024-01-03 13:17:36,3.8,No,No,14.67
INV52196,C11190,Male,74,Florida,Beauty & Personal Care,Skincare Kit,1,60.82,PayPal,2024-01-03 13:33:03,4.8,Yes,No,60.82
INV63726,C10780,Male,50,Colorado,Sports & Outdoors,Dumbbell Set,2,51.02,Debit Card,2024-01-03 13:56:40,3.7,No,No,102.04
INV53797,C10734,Male,44,California,Books,Fiction Novel,1,14.31,PayPal,2024-01-03 14:48:14,1.9,No,No,14.31
INV64201,C10826,Male,68,Ohio,Home & Kitchen,Coffee Maker,2,89.61,Credit Card,2024-01-03 15:11:33,4.6,No,No,179.22
INV51372,C10727,Female,55,Ohio,Sports & Outdoors,Water Bottle,3,19.45,Credit Card,2024-01-03 15:15:06,2.9,No,No,58.35
INV55498,C11000,Male,28,California,Books,Biography,1,21.98,Credit Card,2024-01-03 16:15:15,3.5,Yes,Yes,21.98
INV53765,C11027,Male,21,New York,Clothing,Socks,1,9.57,Credit Card,2024-01-03 16:28:24,3.9,No,Yes,9.57
INV62518,C10423,Female,19,California,Electronics,Tablet,1,332.79,Credit Card,2024-01-03 16:33:00,4.0,No,No,332.79
INV64413,C11159,Female,40,New York,Clothing,Hoodie,2,46.87,PayPal,2024-01-03 17:30:00,3.9,No,No,93.74
INV54752,C11177,Female,44,California,Electronics,Smartwatch,1,189.76,Debit Card,2024-01-03 19:55:06,3.7,No,Yes,189.76
INV63584,C10660,Female,49,Florida,Clothing,Jacket,1,117.9,Credit Card,2024-01-03 21:00:29,2.8,Yes,Yes,117.9
INV61341,C10256,Female,33,Florida,Sports & Outdoors,Water Bottle,1,19.07,Credit Card,2024-01-03 21:09:10,3.8,No,No,19.07
INV51725,C10111,Female,18,Illinois,Electronics,Tablet,2,314.65,Debit Card,2024-01-03 21:14:26,4.8,Yes,No,629.3
INV56425,C10695,Male,59,Texas,Books,Biography,1,21.82,PayPal,2024-01-04 09:06:06,4.9,Yes,Yes,21.82
INV55061,C10272,Female,36,Massachusetts,Beauty & Personal Care,Hair Dryer,3,46.64,Credit Card,2024-01-04 10:09:23,3.8,Yes,No,139.92
INV53247,C10149,Male,47,Texas,Sports & Outdoors,Camping Tent,1,155.26,Credit Card,2024-01-04 11:03:26,4.9,No,No,155.26
INV51710,C10015,Male,34,California,Sports & Outdoors,Running Shoes,3,96.41,Cash,2024-01-04 12:16:21,1.6,No,No,289.23
INV57613,C10741,Female,42,California,Beauty & Personal Care,Skincare Kit,2,60.51,Debit Card,2024-01-04 12:23:28,4.8,No,No,121.02
INV54191,C10165,Female,34,New York,Beauty & Personal Care,Perfume,1,72.92,Debit Card,2024-01-04 12:49:30,4.8,Yes,Yes,72.92
INV57971,C11079,Male,36,California,Home & Kitchen,Vacuum Cleaner,1,151.6,Cash,2024-01-04 14:54:43,4.9,No,No,151.6
INV62122,C10881,Female,23,Washington,Sports & Outdoors,Camping Tent,1,149.66,Credit Card,2024-01-04 15:08:29,2.6,No,No,149.66
INV57440,C10565,Male,33,Texas,Clothing,Socks,1,9.91,Credit Card,2024-01-04 15:50:09,4.5,No,No,9.91
INV59474,C10346,Female,49,Illinois,Clothing,Socks,5,9.72,Debit Card,2024-01-04 16:54:14,4.8,No,No,48.6
INV57218,C11042,Male,41,Florida,Home & Kitchen,Air Fryer,1,119.47,Cash,2024-01-04 20:44:29,1.9,No,No,119.47
INV61624,C10477,Male,42,Massachusetts,Sports & Outdoors,Dumbbell Set,2,50.3,PayPal,2024-01-04 21:25:53,4.7,Yes,Yes,100.6
INV64196,C10947,Female,19,New York,Sports & Outdoors,Backpack,1,39.51,PayPal,2024-01-05 09:06:07,4.9,Yes,No,39.51
INV58913,C10108,Male,23,New York,Electronics,Tablet,1,326.87,PayPal,2024-01-05 09:50:24,4.5,Yes,Yes,326.87
INV55742,C10335,Female,47,Texas,Books,Cookbook,2,29.66,Credit Card,2024-01-05 09:52:12,1.7,No,No,59.32
INV58104,C10652,Female,23,Georgia,Electronics,Smartphone,1,685.24,Debit Card,2024-01-05 10:24:04,3.7,No,No,685.24
INV62204,C10895,Male,44,California,Clothing,T-Shirt,1,24.39,Debit Card,2024-01-05 10:53:12,4.8,No,No,24.39
INV62544,C10707,Non-Binary,38,Georgia,Books,Cookbook,2,30.67,PayPal,2024-01-05 11:07:49,4.9,Yes,Yes,61.34
INV55849,C10298,Male,71,California,Books,Fiction Novel,1,14.87,Credit Card,2024-01-05 12:02:52,4.9,No,No,14.87
INV56525,C10640,Female,19,New York,Electronics,Smartphone,3,718.92,PayPal,2024-01-05 12:20:55,4.7,No,No,2156.76
INV51828,C10539,Female,26,New York,Books,Fiction Novel,4,14.71,PayPal,2024-01-05 12:28:18,4.9,No,Yes,58.84
INV63678,C10807,Male,37,New York,Beauty & Personal Care,Hair Dryer,1,46.88,Credit Card,2024-01-05 13:12:16,4.9,Yes,Yes,46.88
INV59974,C10998,Male,21,Texas,Electronics,Bluetooth Speaker,1,79.72,Credit Card,2024-01-05 13:26:56,2.9,No,No,79.72
INV63373,C10526,Female,37,California,Beauty & Personal Care,Moisturizer,1,26.79,Credit Card,2024-01-05 13:37:16,2.7,Yes,Yes,26.79
INV56055,C10002,Female,40,Florida,Beauty & Personal Care,Moisturizer,1,26.65,Cash,2024-01-05 13:47:22,4.7,Yes,Yes,26.65
INV62233,C10215,Male,37,New York,Clothing,Sneakers,1,86.8,Cash,2024-01-05 14:20:04,2.9,No,No,86.8
INV55899,C10478,Male,20,Washington,Clothing,Hoodie,1,47.09,Debit Card,2024-01-05 14:23:29,4.6,No,No,47.09
INV56808,C10599,Male,44,California,Home & Kitchen,Vacuum Cleaner,1,156.16,Cash,2024-01-05 15:05:51,4.6,No,No,156.16
INV50094,C11138,Female,60,Florida,Books,Tech Guide,2,50.11,Debit Card,2024-01-05 15:40:05,3.9,No,Yes,100.22
INV53965,C10634,Male,20,Florida,Books,Sci-Fi Anthology,1,18.32,Credit Card,2024-01-05 15:54:22,3.8,No,Yes,18.32
INV57650,C10294,Male,19,Georgia,Electronics,Headphones,1,154.1,Debit Card,2024-01-05 16:02:19,4.0,Yes,Yes,154.1
INV53272,C10871,Female,29,Florida,Books,Cookbook,1,31.31,Credit Card,2024-01-05 16:14:31,4.0,Yes,Yes,31.31
INV55660,C10315,Non-Binary,68,Florida,Home & Kitchen,Coffee Maker,3,90.89,Debit Card,2024-01-05 16:16:54,2.7,No,Yes,272.67
INV62344,C10404,Female,36,California,Sports & Outdoors,Camping Tent,3,148.5,Credit Card,2024-01-05 16:33:36,1.0,Yes,Yes,445.5
INV51060,C10689,Female,65,Illinois,Sports & Outdoors,Yoga Mat,3,29.31,Credit Card,2024-01-05 17:29:16,1.5,No,No,87.93
INV52933,C10575,Female,30,Illinois,Clothing,Socks,1,10.19,Debit Card,2024-01-05 17:53:28,2.9,Yes,No,10.19
INV64355,C10353,Male,41,New York,Clothing,Jacket,1,114.91,Credit Card,2024-01-05 18:02:15,4.8,No,Yes,114.91
INV64949,C10768,Male,39,Washington,Books,Sci-Fi Anthology,2,18.15,PayPal,2024-01-05 18:22:34,4.7,No,No,36.3
INV54566,C10434,Male,39,Washington,Home & Kitchen,Vacuum Cleaner,1,147.42,Debit Card,2024-01-05 18:58:47,2.6,No,No,147.42
INV55644,C10538,Female,24,California,Clothing,Hoodie,1,44.73,Credit Card,2024-01-05 19:55:31,3.9,No,No,44.73
INV55538,C11055,Male,37,Texas,Clothing,T-Shirt,1,23.84,Cash,2024-01-05 19:58:35,4.6,No,No,23.84
INV53951,C10269,Male,49,New York,Clothing,T-Shirt,2,24.46,Debit Card,2024-01-05 20:06:19,4.8,No,Yes,48.92
INV57254,C10701,Female,50,Texas,Clothing,T-Shirt,1,24.74,Debit Card,2024-01-05 20:08:22,2.5,No,No,24.74
INV58395,C10117,Male,49,California,Books,Sci-Fi Anthology,1,18.45,PayPal,2024-01-05 20:13:31,4.0,No,No,18.45
INV54383,C10690,Female,34,Ohio,Home & Kitchen,Toaster,4,35.83,Debit Card,2024-01-05 21:24:14,4.9,No,No,143.32
INV56522,C10298,Male,71,California,Electronics,Headphones,1,146.69,Credit Card,2024-01-06 09:51:55,3.9,No,No,146.69
INV55695,C10409,Male,33,Florida,Home & Kitchen,Coffee Maker,2,90.85,PayPal,2024-01-06 10:04:29,2.8,Yes,Yes,181.7
INV62997,C10983,Female,35,New York,Clothing,Sneakers,1,85.35,Debit Card,2024-01-06 10:17:26,4.5,No,No,85.35
INV57761,C10315,Non-Binary,68,Florida,Books,Self-Help Book,3,20.28,Credit Card,2024-01-06 10:35:09,4.5,No,Yes,60.84
INV58488,C10144,Male,30,California,Electronics,Tablet,3,337.08,Credit Card,2024-01-06 10:44:00,1.9,No,No,1011.24
INV54194,C10680,Male,30,Illinois,Books,Biography,1,21.65,Credit Card,2024-01-06 10:57:10,3.5,No,No,21.65
INV60283,C10809,Female,26,Ohio,Clothing,Hoodie,1,46.32,PayPal,2024-01-06 12:08:41,4.9,No,No,46.32
INV57900,C10991,Female,22,New York,Beauty & Personal Care,Hair Dryer,3,44.22,Credit Card,2024-01-06 12:56:40,4.8,No,No,132.66
INV53754,C10828,Male,27,New York,Electronics,Smartphone,1,708.22,PayPal,2024-01-06 12:57:10,5.0,No,No,708.22
INV52790,C10745,Male,65,New York,Books,Fiction Novel,2,14.43,Credit Card,2024-01-06 12:59:13,4.8,No,No,28.86
INV60895,C11176,Male,37,Texas,Home & Kitchen,Dinnerware Set,1,58.5,Credit Card,2024-01-06 13:35:38,4.6,No,No,58.5
INV50972,C10059,Male,18,New York,Clothing,Jacket,2,118.69,PayPal,2024-01-06 13:51:43,3.9,No,No,237.38
INV61147,C10106,Female,26,California,Home & Kitchen,Air Fryer,1,120.62,Credit Card,2024-01-06 14:25:41,4.0,No,No,120.62
INV51462,C10014,Female,47,New York,Books,Biography,1,21.61,Credit Card,2024-01-06 14:50:26,5.0,No,No,21.61
INV64539,C10459,Female,44,New York,Beauty & Personal Care,Skincare Kit,2,61.23,Credit Card,2024-01-06 14:57:11,2.6,No,No,122.46
INV50313,C10379,Male,26,Ohio,Beauty & Personal Care,Perfume,1,72.15,Credit Card,2024-01-06 15:09:44,4.7,No,No,72.15
INV50239,C10308,Male,75,California,Beauty & Personal Care,Perfume,1,74.25,PayPal,2024-01-06 15:39:36,1.0,No,No,74.25
INV56568,C11060,Female,22,New York,Beauty & Personal Care,Moisturizer,5,28.49,Credit Card,2024-01-06 15:45:08,3.6,No,No,142.45
INV54404,C10777,Male,31,Florida,Home & Kitchen,Vacuum Cleaner,1,154.3,Debit Card,2024-01-06 15:46:27,3.6,Yes,Yes,154.3
INV59193,C10764,Male,49,California,Clothing,Hoodie,1,44.18,Debit Card,2024-01-06 16:44:36,4.9,No,No,44.18
INV55181,C10633,Female,33,New York,Books,Fiction Novel,1,14.69,Credit Card,2024-01-06 17:29:49,3.8,Yes,No,14.69
INV63982,C11040,Female,25,New York,Electronics,Smartwatch,2,207.51,Cash,2024-01-06 17:39:40,4.9,Yes,No,415.02
INV51448,C10753,Male,24,Massachusetts,Electronics,Headphones,1,148.11,PayPal,2024-01-06 17:54:22,2.5,No,No,148.11
INV54882,C10557,Male,26,Florida,Home & Kitchen,Blender,2,45.47,Credit Card,2024-01-06 18:13:06,3.6,Yes,Yes,90.94
INV63417,C10120,Male,21,California,Electronics,Laptop,1,1128.85,Credit Card,2024-01-06 18:46:51,3.6,No,No,1128.85
INV63493,C10335,Female,47,Texas,Home & Kitchen,Coffee Maker,1,86.2,Credit Card,2024-01-06 19:11:45,2.5,No,No,86.2
INV50648,C11034,Male,61,Colorado,Sports & Outdoors,Dumbbell Set,1,50.86,Debit Card,2024-01-06 19:36:20,4.6,Yes,No,50.86
INV55148,C10975,Male,74,Florida,Home & Kitchen,Vacuum Cleaner,1,145.11,Credit Card,2024-01-06 20:04:35,4.5,Yes,Yes,145.11
INV51931,C11003,Female,54,Texas,Electronics,Tablet,1,338.77,Cash,2024-01-06 20:44:55,4.6,Yes,Yes,338.77
INV52979,C11089,Male,24,Illinois,Clothing,T-Shirt,1,23.84,Debit Card,2024-01-07 09:23:30,4.8,No,No,23.84
INV63085,C11088,Male,34,New York,Sports & Outdoors,Yoga Mat,1,30.28,Credit Card,2024-01-07 09:24:28,4.7,Yes,Yes,30.28
INV59085,C11032,Male,70,New York,Electronics,Headphones,2,148.62,Debit Card,2024-01-07 10:32:37,3.7,No,No,297.24
INV52029,C10167,Male,35,California,Electronics,Smartwatch,3,199.51,Credit Card,2024-01-07 10:45:09,4.6,No,No,598.53
INV53409,C10077,Female,26,Texas,Beauty & Personal Care,Hair Dryer,2,46.21,Credit Card,2024-01-07 11:30:55,4.9,Yes,No,92.42
INV59038,C10280,Male,30,New York,Books,Biography,1,22.62,Credit Card,2024-01-07 11:52:13,3.7,No,No,22.62
INV53911,C10176,Male,68,California,Electronics,Smartwatch,1,208.93,Credit Card,2024-01-07 13:02:18,3.9,No,No,208.93
INV64616,C11123,Female,52,Florida,Clothing,T-Shirt,1,25.64,Credit Card,2024-01-07 14:08:36,1.0,Yes,No,25.64
INV62328,C10860,Female,65,California,Clothing,Jeans,2,53.49,Cash,2024-01-07 14:10:40,3.8,No,No,106.98
INV64235,C10268,Female,26,Massachusetts,Home & Kitchen,Dinnerware Set,1,60.79,Cash,2024-01-07 14:18:49,4.9,Yes,Yes,60.79
INV52840,C10464,Female,25,California,Electronics,Tablet,2,340.93,PayPal,2024-01-07 14:35:30,3.9,No,No,681.86
INV52808,C10790,Male,33,New York,Home & Kitchen,Coffee Maker,3,91.47,Credit Card,2024-01-07 17:18:59,1.6,No,No,274.41
INV63521,C10360,Male,36,Massachusetts,Electronics,Headphones,1,146.42,Cash,2024-01-07 18:10:38,4.7,Yes,Yes,146.42
INV51930,C10173,Male,38,Ohio,Beauty & Personal Care,Skincare Kit,2,60.64,Credit Card,2024-01-07 18:27:31,4.9,No,No,121.28
INV61777,C10931,Female,47,Florida,Beauty & Personal Care,Lipstick,1,17.78,PayPal,2024-01-07 18:29:56,3.9,No,No,17.78
INV61677,C11099,Female,64,Massachusetts,Books,Self-Help Book,2,19.06,Cash,2024-01-07 18:47:23,4.8,No,No,38.12
INV63295,C10907,Female,40,Texas,Beauty & Personal Care,Shampoo,3,12.21,Credit Card,2024-01-07 19:13:43,4.8,No,No,36.63
INV50604,C10566,Female,72,California,Home & Kitchen,Toaster,2,34.66,Credit Card,2024-01-07 19:16:31,4.8,Yes,Yes,69.32
INV56868,C11049,Male,25,Illinois,Electronics,Smartwatch,2,202.33,PayPal,2024-01-07 20:51:04,2.5,Yes,Yes,404.66
INV50027,C10643,Male,33,Texas,Sports & Outdoors,Backpack,1,41.3,Credit Card,2024-01-08 09:05:52,1.8,No,No,41.3
INV50151,C10245,Male,56,New York,Books,Sci-Fi Anthology,1,17.37,PayPal,2024-01-08 09:10:34,3.8,Yes,No,17.37
INV54576,C11119,Female,18,California,Clothing,Jacket,1,123.89,Credit Card,2024-01-08 09:10:38,5.0,Yes,Yes,123.89
INV63347,C10227,Male,47,Colorado,Books,Cookbook,1,28.67,Debit Card,2024-01-08 10:21:48,3.6,No,No,28.67
INV62512,C10274,Female,23,Illinois,Electronics,Bluetooth Speaker,1,79.04,PayPal,2024-01-08 10:33:07,3.5,Yes,Yes,79.04
INV60185,C10183,Female,22,Georgia,Clothing,T-Shirt,1,24.59,Credit Card,2024-01-08 10:45:13,3.7,No,No,24.59
INV52876,C10296,Male,63,California,Sports & Outdoors,Camping Tent,3,156.88,Credit Card,2024-01-08 11:20:18,3.6,No,No,470.64
INV53346,C10187,Female,24,Washington,Sports & Outdoors,Camping Tent,2,152.13,Credit Card,2024-01-08 11:30:59,4.7,Yes,No,304.26
INV63980,C11137,Male,23,Florida,Beauty & Personal Care,Skincare Kit,3,62.35,PayPal,2024-01-08 11:40:13,3.9,No,Yes,187.05
INV63681,C10816,Male,31,California,Books,Fiction Novel,1,14.8,Cash,2024-01-08 12:27:23,4.6,Yes,Yes,14.8
INV61207,C10308,Male,75,California,Home & Kitchen,Blender,1,45.24,Credit Card,2024-01-08 12:32:17,3.7,No,No,45.24
INV60581,C10337,Female,33,New York,Electronics,Laptop,1,1105.63,Credit Card,2024-01-08 12:34:38,4.5,Yes,No,1105.63
INV54880,C10349,Female,61,California,Beauty & Personal Care,Hair Dryer,1,43.67,PayPal,2024-01-08 12:36:17,4.7,No,No,43.67
INV54298,C10346,Female,49,Illinois,Books,Sci-Fi Anthology,1,17.21,Cash,2024-01-08 13:43:16,4.7,No,No,17.21
INV52065,C10583,Male,47,California,Clothing,Jeans,3,57.11,Credit Card,2024-01-08 14:40:23,2.8,Yes,Yes,171.33
INV58778,C10334,Male,38,California,Electronics,Bluetooth Speaker,1,79.65,Credit Card,2024-01-08 15:18:42,2.9,No,No,79.65
INV60131,C10386,Male,44,Massachusetts,Beauty & Personal Care,Skincare Kit,1,60.57,Credit Card,2024-01-08 16:08:36,3.9,No,Yes,60.57
INV50457,C10586,Male,71,Massachusetts,Clothing,Jacket,1,123.79,Cash,2024-01-08 17:15:23,2.8,Yes,No,123.79
INV57680,C11044,Female,32,New York,Home & Kitchen,Blender,2,47.02,Debit Card,2024-01-08 17:54:55,4.9,Yes,Yes,94.04
INV55837,C11072,Female,39,Texas,Clothing,Hoodie,2,42.97,Cash,2024-01-08 17:56:10,4.5,Yes,Yes,85.94
INV54445,C10514,Female,22,Texas,Electronics,Smartwatch,5,198.65,Credit Card,2024-01-08 19:17:41,4.7,No,No,993.25
INV58672,C10358,Female,69,California,Home & Kitchen,Coffee Maker,2,88.17,Cash,2024-01-08 20:34:30,1.8,No,No,176.34
INV53341,C10079,Male,28,California,Clothing,Jeans,1,56.41,Credit Card,2024-01-09 09:32:25,3.0,No,No,56.41
INV63504,C10214,Female,37,Texas,Home & Kitchen,Vacuum Cleaner,2,143.02,Credit Card,2024-01-09 10:05:19,4.6,No,No,286.04
INV59183,C10377,Male,25,California,Electronics,Smartphone,1,697.53,Debit Card,2024-01-09 11:01:25,3.6,No,No,697.53
INV62702,C10533,Male,70,New York,Home & Kitchen,Dinnerware Set,3,58.31,Credit Card,2024-01-09 12:47:33,2.6,No,No,174.93
INV54990,C10774,Male,37,Texas,Books,Sci-Fi Anthology,1,18.44,Debit Card,2024-01-09 12:55:48,4.5,No,No,18.44
INV52699,C10648,Male,73,California,Clothing,Jeans,2,55.66,Credit Card,2024-01-09 13:36:53,4.7,No,No,111.32
INV54025,C10791,Female,49,New York,Home & Kitchen,Blender,3,46.94,PayPal,2024-01-09 14:29:23,4.0,No,No,140.82
INV61013,C10295,Male,28,Florida,Beauty & Personal Care,Skincare Kit,1,61.99,Cash,2024-01-09 14:54:42,2.9,No,No,61.99
INV55009,C11114,Male,22,California,Clothing,Socks,1,10.29,Debit Card,2024-01-09 14:57:16,2.8,No,No,10.29
INV54436,C10219,Male,26,Florida,Electronics,Smartphone,3,726.59,Debit Card,2024-01-09 14:58:32,4.8,No,Yes,2179.77
INV57864,C10371,Female,39,New York,Clothing,Hoodie,1,44.14,Credit Card,2024-01-09 15:23:44,4.8,No,No,44.14
INV60892,C10642,Male,47,Florida,Books,Cookbook,1,28.49,Credit Card,2024-01-09 15:25:35,3.7,Yes,Yes,28.49
INV51084,C10702,Female,19,New York,Electronics,Smartwatch,1,202.86,PayPal,2024-01-09 17:30:47,3.6,Yes,No,202.86
INV64164,C11142,Non-Binary,26,New York,Clothing,Hoodie,2,45.62,Credit Card,2024-01-09 18:05:49,4.9,Yes,Yes,91.24
INV62900,C10648,Male,73,California,Books,Biography,2,22.86,PayPal,2024-01-09 21:06:26,4.8,No,No,45.72
INV62660,C10628,Non-Binary,61,California,Home & Kitchen,Air Fryer,2,115.67,PayPal,2024-01-09 21:14:30,3.6,No,No,231.34
INV53940,C10150,Male,46,Massachusetts,Beauty & Personal Care,Lipstick,1,18.74,Debit Card,2024-01-09 21:59:33,4.9,No,No,18.74
INV61266,C10475,Male,74,Washington,Home & Kitchen,Coffee Maker,1,91.59,Credit Card,2024-01-10 09:21:36,2.6,No,No,91.59
INV62093,C10021,Male,21,New York,Electronics,Bluetooth Speaker,1,76.58,Credit Card,2024-01-10 09:36:07,4.5,No,No,76.58
INV56622,C10711,Female,43,California,Beauty & Personal Care,Hair Dryer,1,45.27,Cash,2024-01-10 09:40:30,4.9,Yes,Yes,45.27
INV56278,C10005,Female,45,California,Sports & Outdoors,Running Shoes,1,96.72,Cash,2024-01-10 10:40:41,3.9,No,No,96.72
INV59184,C10925,Male,26,New York,Electronics,Laptop,1,1136.97,Credit Card,2024-01-10 11:14:37,4.8,No,No,1136.97
INV62298,C10426,Female,46,Texas,Beauty & Personal Care,Shampoo,3,11.82,Debit Card,2024-01-10 11:29:24,4.8,Yes,No,35.46
INV61390,C10022,Male,48,Washington,Home & Kitchen,Toaster,3,36.56,Credit Card,2024-01-10 11:36:46,3.9,Yes,Yes,109.68
INV50324,C10255,Female,20,Illinois,Beauty & Personal Care,Perfume,2,73.66,Debit Card,2024-01-10 12:24:35,5.0,Yes,Yes,147.32
INV64322,C10467,Female,50,New York,Clothing,Sneakers,1,87.29,Credit Card,2024-01-10 12:28:41,3.7,No,Yes,87.29
INV50824,C10773,Non-Binary,51,Washington,Sports & Outdoors,Water Bottle,1,20.65,Credit Card,2024-01-10 13:02:36,4.0,No,No,20.65
INV51760,C10533,Male,70,New York,Electronics,Bluetooth Speaker,3,78.52,Credit Card,2024-01-10 14:08:08,4.0,No,No,235.56
INV50245,C10984,Female,50,Georgia,Clothing,Socks,1,10.27,Credit Card,2024-01-10 14:16:52,3.9,No,No,10.27
INV55707,C10915,Male,29,California,Home & Kitchen,Toaster,2,36.5,PayPal,2024-01-10 16:21:20,4.7,No,No,73.0
INV55543,C10922,Female,39,New York,Sports & Outdoors,Running Shoes,2,90.67,Credit Card,2024-01-10 17:14:15,4.8,Yes,No,181.34
INV54725,C10902,Male,61,Texas,Sports & Outdoors,Backpack,2,39.42,Credit Card,2024-01-10 17:40:15,4.5,No,Yes,78.84
INV59220,C10407,Female,29,California,Home & Kitchen,Air Fryer,1,114.08,Credit Card,2024-01-10 20:37:35,4.9,No,No,114.08
INV63592,C10243,Female,35,Illinois,Electronics,Laptop,3,1047.8,Debit Card,2024-01-10 21:35:07,5.0,No,No,3143.4
INV58560,C10900,Female,44,California,Electronics,Tablet,1,327.96,Cash,2024-01-11 09:29:58,3.8,No,No,327.96
INV52109,C10697,Female,37,New York,Sports & Outdoors,Dumbbell Set,2,48.57,Credit Card,2024-01-11 09:34:02,1.8,No,Yes,97.14
INV60927,C10612,Male,57,New York,Books,Biography,1,22.69,Debit Card,2024-01-11 10:25:18,3.6,No,No,22.69
INV58450,C10585,Female,22,Texas,Electronics,Smartphone,1,698.05,PayPal,2024-01-11 10:55:58,4.7,Yes,Yes,698.05
INV63989,C11033,Female,62,Massachusetts,Books,Biography,1,22.87,Credit Card,2024-01-11 12:40:46,3.6,No,No,22.87
INV54212,C11062,Female,63,New York,Clothing,Sneakers,2,83.57,Credit Card,2024-01-11 13:09:49,1.0,No,No,167.14
