InvoiceNo,CustomerID,Gender,Age,Location,Category,ItemName,Quantity,UnitPrice,PaymentMethod,InvoiceDate,ReviewRating,SubscriptionStatus,DiscountApplied
INV56808,C10599,Male,44,California,Home & Kitchen,Vacuum Cleaner,1,156.16,Cash,2024-01-05 15:05:51,4.6,No,No
INV50094,C11138,Female,60,Florida,Books,Tech Guide,2,50.11,Debit Card,2024-01-05 15:40:05,3.9,No,Yes
INV53965,C10634,Male,20,Florida,Books,Sci-Fi Anthology,1,18.32,Credit Card,2024-01-05 15:54:22,3.8,No,Yes
INV57650,C10294,Male,19,Georgia,Electronics,Headphones,1,154.1,Debit Card,2024-01-05 16:02:19,4.0,Yes,Yes
INV53272,C10871,Female,29,Florida,Books,Cookbook,1,31.31,Credit Card,2024-01-05 16:14:31,4.0,Yes,Yes
INV55660,C10315,Non-Binary,68,Florida,Home & Kitchen,Coffee Maker,3,90.89,Debit Card,2024-01-05 16:16:54,2.7,No,Yes
INV62344,C10404,Female,36,California,Sports & Outdoors,Camping Tent,3,148.5,Credit Card,2024-01-05 16:33:36,1.0,Yes,Yes
INV51060,C10689,Female,65,Illinois,Sports & Outdoors,Yoga Mat,3,29.31,Credit Card,2024-01-05 17:29:16,1.5,No,No
INV52933,C10575,Female,30,Illinois,Clothing,Socks,1,10.19,Debit Card,2024-01-05 17:53:28,2.9,Yes,No
INV64355,C10353,Male,41,New York,Clothing,Jacket,1,114.91,Credit Card,2024-01-05 18:02:15,4.8,No,Yes
INV64949,C10768,Male,39,Washington,Books,Sci-Fi Anthology,2,18.15,PayPal,2024-01-05 18:22:34,4.7,No,No
INV54566,C10434,Male,39,Washington,Home & Kitchen,Vacuum Cleaner,1,147.42,Debit Card,2024-01-05 18:58:47,2.6,No,No
INV55644,C10538,Female,24,California,Clothing,Hoodie,1,44.73,Credit Card,2024-01-05 19:55:31,3.9,No,No
INV55538,C11055,Male,37,Texas,Clothing,T-Shirt,1,23.84,Cash,2024-01-05 19:58:35,4.6,No,No
INV53951,C10269,Male,49,New York,Clothing,T-Shirt,2,24.46,Debit Card,2024-01-05 20:06:19,4.8,No,Yes
INV57254,C10701,Female,50,Texas,Clothing,T-Shirt,1,24.74,Debit Card,2024-01-05 20:08:22,2.5,No,No
INV58395,C10117,Male,49,California,Books,Sci-Fi Anthology,1,18.45,PayPal,2024-01-05 20:13:31,4.0,No,No
INV54383,C10690,Female,34,Ohio,Home & Kitchen,Toaster,4,35.83,Debit Card,2024-01-05 21:24:14,4.9,No,No
INV56522,C10298,Male,71,California,Electronics,Headphones,1,146.69,Credit Card,2024-01-06 09:51:55,3.9,No,No
INV55695,C10409,Male,33,Florida,Home & Kitchen,Coffee Maker,2,90.85,PayPal,2024-01-06 10:04:29,2.8,Yes,Yes
INV62997,C10983,Female,35,New York,Clothing,Sneakers,1,85.35,Debit Card,2024-01-06 10:17:26,4.5,No,No
INV57761,C10315,Non-Binary,68,Florida,Books,Self-Help Book,3,20.28,Credit Card,2024-01-06 10:35:09,4.5,No,Yes
INV58488,C10144,Male,30,California,Electronics,Tablet,3,337.08,Credit Card,2024-01-06 10:44:00,1.9,No,No
INV54194,C10680,Male,30,Illinois,Books,Biography,1,21.65,Credit Card,2024-01-06 10:57:10,3.5,No,No
INV60283,C10809,Female,26,Ohio,Clothing,Hoodie,1,46.32,PayPal,2024-01-06 12:08:41,4.9,No,No
INV57900,C10991,Female,22,New York,Beauty & Personal Care,Hair Dryer,3,44.22,Credit Card,2024-01-06 12:56:40,4.8,No,No
INV53754,C10828,Male,27,New York,Electronics,Smartphone,1,708.22,PayPal,2024-01-06 12:57:10,5.0,No,No
INV52790,C10745,Male,65,New York,Books,Fiction Novel,2,14.43,Credit Card,2024-01-06 12:59:13,4.8,No,No
INV60895,C11176,Male,37,Texas,Home & Kitchen,Dinnerware Set,1,58.5,Credit Card,2024-01-06 13:35:38,4.6,No,No
INV50972,C10059,Male,18,New York,Clothing,Jacket,2,118.69,PayPal,2024-01-06 13:51:43,3.9,No,No
INV61147,C10106,Female,26,California,Home & Kitchen,Air Fryer,1,120.62,Credit Card,2024-01-06 14:25:41,4.0,No,No
INV51462,C10014,Female,47,New York,Books,Biography,1,21.61,Credit Card,2024-01-06 14:50:26,5.0,No,No
INV64539,C10459,Female,44,New York,Beauty & Personal Care,Skincare Kit,2,61.23,Credit Card,2024-01-06 14:57:11,2.6,No,No
INV50313,C10379,Male,26,Ohio,Beauty & Personal Care,Perfume,1,72.15,Credit Card,2024-01-06 15:09:44,4.7,No,No
INV50239,C10308,Male,75,California,Beauty & Personal Care,Perfume,1,74.25,PayPal,2024-01-06 15:39:36,1.0,No,No
INV56568,C11060,Female,22,New York,Beauty & Personal Care,Moisturizer,5,28.49,Credit Card,2024-01-06 15:45:08,3.6,No,No
INV54404,C10777,Male,31,Florida,Home & Kitchen,Vacuum Cleaner,1,154.3,Debit Card,2024-01-06 15:46:27,3.6,Yes,Yes
INV59193,C10764,Male,49,California,Clothing,Hoodie,1,44.18,Debit Card,2024-01-06 16:44:36,4.9,No,No
INV55181,C10633,Female,33,New York,Books,Fiction Novel,1,14.69,Credit Card,2024-01-06 17:29:49,3.8,Yes,No
INV63982,C11040,Female,25,New York,Electronics,Smartwatch,2,207.51,Cash,2024-01-06 17:39:40,4.9,Yes,No
INV51448,C10753,Male,24,Massachusetts,Electronics,Headphones,1,148.11,PayPal,2024-01-06 17:54:22,2.5,No,No
INV54882,C10557,Male,26,Florida,Home & Kitchen,Blender,2,45.47,Credit Card,2024-01-06 18:13:06,3.6,Yes,Yes
INV63417,C10120,Male,21,California,Electronics,Laptop,1,1128.85,Credit Card,2024-01-06 18:46:51,3.6,No,No
INV63493,C10335,Female,47,Texas,Home & Kitchen,Coffee Maker,1,86.2,Credit Card,2024-01-06 19:11:45,2.5,No,No
INV50648,C11034,Male,61,Colorado,Sports & Outdoors,Dumbbell Set,1,50.86,Debit Card,2024-01-06 19:36:20,4.6,Yes,No
INV55148,C10975,Male,74,Florida,Home & Kitchen,Vacuum Cleaner,1,145.11,Credit Card,2024-01-06 20:04:35,4.5,Yes,Yes
INV51931,C11003,Female,54,Texas,Electronics,Tablet,1,338.77,Cash,2024-01-06 20:44:55,4.6,Yes,Yes
INV52979,C11089,Male,24,Illinois,Clothing,T-Shirt,1,23.84,Debit Card,2024-01-07 09:23:30,4.8,No,No
INV63085,C11088,Male,34,New York,Sports & Outdoors,Yoga Mat,1,30.28,Credit Card,2024-01-07 09:24:28,4.7,Yes,Yes
INV59085,C11032,Male,70,New York,Electronics,Headphones,2,148.62,Debit Card,2024-01-07 10:32:37,3.7,No,No
INV52029,C10167,Male,35,California,Electronics,Smartwatch,3,199.51,Credit Card,2024-01-07 10:45:09,4.6,No,No
INV53409,C10077,Female,26,Texas,Beauty & Personal Care,Hair Dryer,2,46.21,Credit Card,2024-01-07 11:30:55,4.9,Yes,No
INV59038,C10280,Male,30,New York,Books,Biography,1,22.62,Credit Card,2024-01-07 11:52:13,3.7,No,No
INV53911,C10176,Male,68,California,Electronics,Smartwatch,1,208.93,Credit Card,2024-01-07 13:02:18,3.9,No,No
INV64616,C11123,Female,52,Florida,Clothing,T-Shirt,1,25.64,Credit Card,2024-01-07 14:08:36,1.0,Yes,No
INV62328,C10860,Female,65,California,Clothing,Jeans,2,53.49,Cash,2024-01-07 14:10:40,3.8,No,No
INV64235,C10268,Female,26,Massachusetts,Home & Kitchen,Dinnerware Set,1,60.79,Cash,2024-01-07 14:18:49,4.9,Yes,Yes
INV52840,C10464,Female,25,California,Electronics,Tablet,2,340.93,PayPal,2024-01-07 14:35:30,3.9,No,No
INV52808,C10790,Male,33,New York,Home & Kitchen,Coffee Maker,3,91.47,Credit Card,2024-01-07 17:18:59,1.6,No,No
INV63521,C10360,Male,36,Massachusetts,Electronics,Headphones,1,146.42,Cash,2024-01-07 18:10:38,4.7,Yes,Yes
INV51930,C10173,Male,38,Ohio,Beauty & Personal Care,Skincare Kit,2,60.64,Credit Card,2024-01-07 18:27:31,4.9,No,No
INV61777,C10931,Female,47,Florida,Beauty & Personal Care,Lipstick,1,17.78,PayPal,2024-01-07 18:29:56,3.9,No,No
INV61677,C11099,Female,64,Massachusetts,Books,Self-Help Book,2,19.06,Cash,2024-01-07 18:47:23,4.8,No,No
INV63295,C10907,Female,40,Texas,Beauty & Personal Care,Shampoo,3,12.21,Credit Card,2024-01-07 19:13:43,4.8,No,No
INV50604,C10566,Female,72,California,Home & Kitchen,Toaster,2,34.66,Credit Card,2024-01-07 19:16:31,4.8,Yes,Yes
INV56868,C11049,Male,25,Illinois,Electronics,Smartwatch,2,202.33,PayPal,2024-01-07 20:51:04,2.5,Yes,Yes
INV50027,C10643,Male,33,Texas,Sports & Outdoors,Backpack,1,41.3,Credit Card,2024-01-08 09:05:52,1.8,No,No
INV50151,C10245,Male,56,New York,Books,Sci-Fi Anthology,1,17.37,PayPal,2024-01-08 09:10:34,3.8,Yes,No
INV54576,C11119,Female,18,California,Clothing,Jacket,1,123.89,Credit Card,2024-01-08 09:10:38,5.0,Yes,Yes
INV63347,C10227,Male,47,Colorado,Books,Cookbook,1,28.67,Debit Card,2024-01-08 10:21:48,3.6,No,No
INV62512,C10274,Female,23,Illinois,Electronics,Bluetooth Speaker,1,79.04,PayPal,2024-01-08 10:33:07,3.5,Yes,Yes
INV60185,C10183,Female,22,Georgia,Clothing,T-Shirt,1,24.59,Credit Card,2024-01-08 10:45:13,3.7,No,No
INV52876,C10296,Male,63,California,Sports & Outdoors,Camping Tent,3,156.88,Credit Card,2024-01-08 11:20:18,3.6,No,No
INV53346,C10187,Female,24,Washington,Sports & Outdoors,Camping Tent,2,152.13,Credit Card,2024-01-08 11:30:59,4.7,Yes,No
INV63980,C11137,Male,23,Florida,Beauty & Personal Care,Skincare Kit,3,62.35,PayPal,2024-01-08 11:40:13,3.9,No,Yes
INV63681,C10816,Male,31,California,Books,Fiction Novel,1,14.8,Cash,2024-01-08 12:27:23,4.6,Yes,Yes
INV61207,C10308,Male,75,California,Home & Kitchen,Blender,1,45.24,Credit Card,2024-01-08 12:32:17,3.7,No,No
INV60581,C10337,Female,33,New York,Electronics,Laptop,1,1105.63,Credit Card,2024-01-08 12:34:38,4.5,Yes,No
INV54880,C10349,Female,61,California,Beauty & Personal Care,Hair Dryer,1,43.67,PayPal,2024-01-08 12:36:17,4.7,No,No
INV54298,C10346,Female,49,Illinois,Books,Sci-Fi Anthology,1,17.21,Cash,2024-01-08 13:43:16,4.7,No,No
INV52065,C10583,Male,47,California,Clothing,Jeans,3,57.11,Credit Card,2024-01-08 14:40:23,2.8,Yes,Yes
INV58778,C10334,Male,38,California,Electronics,Bluetooth Speaker,1,79.65,Credit Card,2024-01-08 15:18:42,2.9,No,No
INV60131,C10386,Male,44,Massachusetts,Beauty & Personal Care,Skincare Kit,1,60.57,Credit Card,2024-01-08 16:08:36,3.9,No,Yes
INV50457,C10586,Male,71,Massachusetts,Clothing,Jacket,1,123.79,Cash,2024-01-08 17:15:23,2.8,Yes,No
INV57680,C11044,Female,32,New York,Home & Kitchen,Blender,2,47.02,Debit Card,2024-01-08 17:54:55,4.9,Yes,Yes
INV55837,C11072,Female,39,Texas,Clothing,Hoodie,2,42.97,Cash,2024-01-08 17:56:10,4.5,Yes,Yes
INV54445,C10514,Female,22,Texas,Electronics,Smartwatch,5,198.65,Credit Card,2024-01-08 19:17:41,4.7,No,No
INV58672,C10358,Female,69,California,Home & Kitchen,Coffee Maker,2,88.17,Cash,2024-01-08 20:34:30,1.8,No,No
INV53341,C10079,Male,28,California,Clothing,Jeans,1,56.41,Credit Card,2024-01-09 09:32:25,3.0,No,No
INV63504,C10214,Female,37,Texas,Home & Kitchen,Vacuum Cleaner,2,143.02,Credit Card,2024-01-09 10:05:19,4.6,No,No
INV59183,C10377,Male,25,California,Electronics,Smartphone,1,697.53,Debit Card,2024-01-09 11:01:25,3.6,No,No
INV62702,C10533,Male,70,New York,Home & Kitchen,Dinnerware Set,3,58.31,Credit Card,2024-01-09 12:47:33,2.6,No,No
INV54990,C10774,Male,37,Texas,Books,Sci-Fi Anthology,1,18.44,Debit Card,2024-01-09 12:55:48,4.5,No,No
INV52699,C10648,Male,73,California,Clothing,Jeans,2,55.66,Credit Card,2024-01-09 13:36:53,4.7,No,No
INV54025,C10791,Female,49,New York,Home & Kitchen,Blender,3,46.94,PayPal,2024-01-09 14:29:23,4.0,No,No
INV61013,C10295,Male,28,Florida,Beauty & Personal Care,Skincare Kit,1,61.99,Cash,2024-01-09 14:54:42,2.9,No,No
INV55009,C11114,Male,22,California,Clothing,Socks,1,10.29,Debit Card,2024-01-09 14:57:16,2.8,No,No
INV54436,C10219,Male,26,Florida,Electronics,Smartphone,3,726.59,Debit Card,2024-01-09 14:58:32,4.8,No,Yes
INV57864,C10371,Female,39,New York,Clothing,Hoodie,1,44.14,Credit Card,2024-01-09 15:23:44,4.8,No,No
INV60892,C10642,Male,47,Florida,Books,Cookbook,1,28.49,Credit Card,2024-01-09 15:25:35,3.7,Yes,Yes
INV51084,C10702,Female,19,New York,Electronics,Smartwatch,1,202.86,PayPal,2024-01-09 17:30:47,3.6,Yes,No
INV64164,C11142,Non-Binary,26,New York,Clothing,Hoodie,2,45.62,Credit Card,2024-01-09 18:05:49,4.9,Yes,Yes
INV62900,C10648,Male,73,California,Books,Biography,2,22.86,PayPal,2024-01-09 21:06:26,4.8,No,No
INV62660,C10628,Non-Binary,61,California,Home & Kitchen,Air Fryer,2,115.67,PayPal,2024-01-09 21:14:30,3.6,No,No
INV53940,C10150,Male,46,Massachusetts,Beauty & Personal Care,Lipstick,1,18.74,Debit Card,2024-01-09 21:59:33,4.9,No,No
INV61266,C10475,Male,74,Washington,Home & Kitchen,Coffee Maker,1,91.59,Credit Card,2024-01-10 09:21:36,2.6,No,No
INV62093,C10021,Male,21,New York,Electronics,Bluetooth Speaker,1,76.58,Credit Card,2024-01-10 09:36:07,4.5,No,No
INV56622,C10711,Female,43,California,Beauty & Personal Care,Hair Dryer,1,45.27,Cash,2024-01-10 09:40:30,4.9,Yes,Yes
INV56278,C10005,Female,45,California,Sports & Outdoors,Running Shoes,1,96.72,Cash,2024-01-10 10:40:41,3.9,No,No
INV59184,C10925,Male,26,New York,Electronics,Laptop,1,1136.97,Credit Card,2024-01-10 11:14:37,4.8,No,No
INV62298,C10426,Female,46,Texas,Beauty & Personal Care,Shampoo,3,11.82,Debit Card,2024-01-10 11:29:24,4.8,Yes,No
INV61390,C10022,Male,48,Washington,Home & Kitchen,Toaster,3,36.56,Credit Card,2024-01-10 11:36:46,3.9,Yes,Yes
INV50324,C10255,Female,20,Illinois,Beauty & Personal Care,Perfume,2,73.66,Debit Card,2024-01-10 12:24:35,5.0,Yes,Yes
INV64322,C10467,Female,50,New York,Clothing,Sneakers,1,87.29,Credit Card,2024-01-10 12:28:41,3.7,No,Yes
INV50824,C10773,Non-Binary,51,Washington,Sports & Outdoors,Water Bottle,1,20.65,Credit Card,2024-01-10 13:02:36,4.0,No,No
INV51760,C10533,Male,70,New York,Electronics,Bluetooth Speaker,3,78.52,Credit Card,2024-01-10 14:08:08,4.0,No,No
INV50245,C10984,Female,50,Georgia,Clothing,Socks,1,10.27,Credit Card,2024-01-10 14:16:52,3.9,No,No
INV55707,C10915,Male,29,California,Home & Kitchen,Toaster,2,36.5,PayPal,2024-01-10 16:21:20,4.7,No,No
INV55543,C10922,Female,39,New York,Sports & Outdoors,Running Shoes,2,90.67,Credit Card,2024-01-10 17:14:15,4.8,Yes,No
INV54725,C10902,Male,61,Texas,Sports & Outdoors,Backpack,2,39.42,Credit Card,2024-01-10 17:40:15,4.5,No,Yes
INV59220,C10407,Female,29,California,Home & Kitchen,Air Fryer,1,114.08,Credit Card,2024-01-10 20:37:35,4.9,No,No
INV63592,C10243,Female,35,Illinois,Electronics,Laptop,3,1047.8,Debit Card,2024-01-10 21:35:07,5.0,No,No
INV58560,C10900,Female,44,California,Electronics,Tablet,1,327.96,Cash,2024-01-11 09:29:58,3.8,No,No
INV52109,C10697,Female,37,New York,Sports & Outdoors,Dumbbell Set,2,48.57,Credit Card,2024-01-11 09:34:02,1.8,No,Yes
INV60927,C10612,Male,57,New York,Books,Biography,1,22.69,Debit Card,2024-01-11 10:25:18,3.6,No,No
INV58450,C10585,Female,22,Texas,Electronics,Smartphone,1,698.05,PayPal,2024-01-11 10:55:58,4.7,Yes,Yes
INV63989,C11033,Female,62,Massachusetts,Books,Biography,1,22.87,Credit Card,2024-01-11 12:40:46,3.6,No,No
INV54212,C11062,Female,63,New York,Clothing,Sneakers,2,83.57,Credit Card,2024-01-11 13:09:49,1.0,No,No
INV60764,C10013,Female,45,Washington,Home & Kitchen,Coffee Maker,1,93.15,Debit Card,2024-01-11 13:15:53,3.7,No,No
INV57870,C11007,Male,48,Texas,Sports & Outdoors,Yoga Mat,1,29.5,Cash,2024-01-11 13:30:44,4.8,Yes,No
INV57220,C10723,Female,18,New York,Electronics,Tablet,1,327.84,Cash,2024-01-11 14:24:27,4.6,No,No
INV51619,C10540,Male,27,Illinois,Electronics,Tablet,3,343.19,Debit Card,2024-01-11 15:21:32,4.6,No,No
INV50215,C11039,Male,43,California,Clothing,Jeans,3,54.17,Credit Card,2024-01-11 17:38:33,4.7,No,No
INV51630,C10863,Female,43,Florida,Beauty & Personal Care,Moisturizer,1,27.71,Credit Card,2024-01-11 17:40:29,4.9,No,No
INV55217,C10713,Male,46,Georgia,Electronics,Laptop,2,1086.89,Credit Card,2024-01-11 19:06:28,4.5,Yes,Yes
INV64163,C10935,Male,50,Texas,Clothing,Jacket,2,122.39,Credit Card,2024-01-11 19:25:50,4.8,No,No
INV60347,C11011,Male,27,Massachusetts,Electronics,Tablet,1,337.6,Credit Card,2024-01-11 19:53:48,2.9,No,No
INV59057,C10176,Male,68,California,Clothing,Jacket,3,116.43,Credit Card,2024-01-11 21:28:16,3.7,No,Yes
INV55646,C10057,Male,19,New York,Electronics,Smartphone,5,680.92,Credit Card,2024-01-12 09:07:12,2.9,No,No
INV63467,C10708,Female,31,New York,Sports & Outdoors,Water Bottle,1,19.78,Credit Card,2024-01-12 10:15:50,4.8,No,No
